SGB ID;# Reconstructed genomes;# Reference genomes;uSGB;Level of estimated taxonomy;Estimated taxonomy;Average distance from closest Reference Genome;Full taxonomic label of the closest genome;Taxonomic assignment based on 16S rRNA sequences (family level);Taxonomic assignment based on 16S rRNA sequences (genus level)
121;2;0;Yes;Other;k__Bacteria|p__Aquificae|c__CFBG69|o__OFBG69|f__FBG69|g__GGB102|s__GGB102_SGB121|t__SGB121;0,3629315;k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium|s__Sulfurihydrogenibium_sp_YO3AOP1;-;-
124;2;0;Yes;Other;k__Bacteria|p__Bacteroidetes|c__CFBG72|o__OFBG72|f__FBG72|g__GGB105|s__GGB105_SGB124|t__SGB124;0,306973;k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus_CAG_160;-;-
125;1;0;Yes;Other;k__Bacteria|p__Firmicutes|c__CFBG73|o__OFBG73|f__FBG73|g__GGB106|s__GGB106_SGB125|t__SGB125;0,295981;k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminiclostridium|s__Eubacterium_siraeum;-;-
362;3;0;Yes;Family;k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__GGB260|s__GGB260_SGB362|t__SGB362;0,213316;k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Candidatus_Methanomassiliicoccus_intestinalis;Methanomassiliicoccaceae;Methanomassiliicoccus
363;11;1;No;Species;k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Candidatus_Methanomassiliicoccus_intestinalis|t__SGB363;0,016023453;k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Candidatus_Methanomassiliicoccus_intestinalis;Methanomassiliicoccaceae;Methanomassiliicoccus
364;1;0;Yes;Genus;k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Methanomassiliicoccus_SGB364|t__SGB364;0,142728;k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Candidatus_Methanomassiliicoccus_intestinalis;Methanomassiliicoccaceae;Methanomassiliicoccus
372;7;0;Yes;Other;k__Archaea|p__Euryarchaeota|c__CFBG117|o__OFBG117|f__FBG117|g__GGB267|s__GGB267_SGB372|t__SGB372;0,292535857;k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Candidatus_Methanomethylophilus|s__Candidatus_Methanomethylophilus_alvus;Methanomassiliicoccaceae;Methanomassiliicoccus
376;23;0;Yes;Family;k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__GGB269|s__GGB269_SGB376|t__SGB376;0,233291261;k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmatales_unclassified|g__Thermoplasmatales_unclassified|s__Thermoplasmatales_archaeon_BRNA1;Methanomassiliicoccaceae;Methanomassiliicoccus
378;1;0;Yes;Family;k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__GGB271|s__GGB271_SGB378|t__SGB378;0,232543;k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmatales_unclassified|g__Thermoplasmatales_unclassified|s__Thermoplasmatales_archaeon_BRNA1;-;-
380;9;0;Yes;Family;k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__GGB273|s__GGB273_SGB380|t__SGB380;0,230461333;k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmatales_unclassified|g__Thermoplasmatales_unclassified|s__Thermoplasmatales_archaeon_BRNA1;Methanomassiliicoccaceae;Methanomassiliicoccus
